Name,Degree,Eigenvector,Betweenness
Chatillon,3,0.11048042043470586,0.0
KingJohn,20,0.415529124477519,0.39263353489543973
QueenEleanor,9,0.24690501205813387,0.03236646510456034
Essex,2,0.07650489060013044,0.0
Bastard,16,0.34941357298082104,0.2594293272864701
RobertFaulc,2,0.0883438911130458,0.0
LadyFaulc,1,0.040354124644980505,0.0
Gurney,1,0.040354124644980505,0.0
Arthur,8,0.2301695716642672,0.046119929453262785
KingPhilip,11,0.2941853584467601,0.09991496598639456
Lewis,10,0.2829693654619046,0.08493008314436885
Austria,6,0.2136954489154116,0.000992063492063492
Constance,9,0.26897264446791774,0.014581758629377673
Blanche,4,0.15208791567573554,0.000992063492063492
Citizen,5,0.1533670828545918,0.06252204585537918
FrenchHerald,2,0.03650806760948164,0.006261022927689595
EnglishHerald,2,0.021928720110873347,0.0013227513227513227
Salisbury,10,0.25415735668860473,0.06857205845301084
Pandulph,7,0.23925832249880905,0.0024029982363315697
Hubert,7,0.18258196521037315,0.03845427059712774
Executioner,2,0.04766916493234274,0.0
Pembroke,7,0.1731826729585804,0.031361803980851595
1Messenger,1,0.04798976646806568,0.0
Peter,1,0.04798976646806568,0.0
Bigot,4,0.1107950845991456,0.0
2Messenger,1,0.04798976646806568,0.0
Melun,2,0.04935424339380899,0.0
3Messenger,1,0.032680278122621344,0.0
PrinceHenry,4,0.1376981345068544,0.0
